datetime,time,record_id,air_temp_C,solar_radiation_Wm2,drywet1_temp_C,drywet2_temp_C,soil_moisture_VWC,soil_temp_C,soil_EC_uScm
8/10/2025,12:30:00,0,44.25,685.6,27.73,NAN,0.0906733,37.7,141.6
8/10/2025,12:40:00,1,44.24,776.2,28.17,NAN,0.2826838,37.82,142
8/10/2025,12:50:00,2,44.25,805,27.9,NAN,0.2124739,37.41,142.3
8/10/2025,13:00:00,3,44.12,811,27.6,NAN,0.00262,37.07,142.4
8/10/2025,13:10:00,4,43.92,814,27.65,NAN,0.2570824,39.13,146.5
8/10/2025,13:20:00,5,43.81,729,27.81,NAN,0.2415664,39.51,131.9
8/10/2025,13:30:00,6,43.93,722.8,27.84,NAN,0.2555308,39.68,129.4
8/10/2025,13:40:00,7,43.96,762.1,27.52,NAN,0.3071215,39.8,128.5
8/10/2025,13:50:00,8,43.85,709.7,27.72,NAN,0.0076627,38.47,129
8/10/2025,14:00:00,9,43.8,688.2,27.6,NAN,0.0778726,39.8,128.9
8/10/2025,14:10:00,10,43.71,672.7,27.32,NAN,0.2357479,39.69,129.6
8/10/2025,14:20:00,11,43.42,659.3,27.28,NAN,0.3059578,39.54,130.3
8/10/2025,14:30:00,12,43.04,552.7,27.41,NAN,0.0945523,39.41,130.9
8/10/2025,14:40:00,13,42.54,285.6,27.13,NAN,0.2171287,38.69,131.5
8/10/2025,14:50:00,14,41.75,228,26.86,NAN,0.1116199,38.45,132.3
8/10/2025,15:00:00,15,40.96,197.2,26.64,NAN,0.3222496,38.81,133.4
8/10/2025,15:10:00,16,40.09,193.3,26.93,NAN,0.2698831,38.44,134.3
8/10/2025,15:20:00,17,39.42,178.7,26.74,NAN,0.2698831,38.15,135.4
8/10/2025,15:30:00,18,38.86,191.4,27.02,NAN,0.3047941,37.93,136.3
8/10/2025,15:40:00,19,38.52,253.5,27.08,NAN,0.2345842,37.75,136.7
8/10/2025,15:50:00,20,38.32,269.7,26.86,NAN,0.1996732,37.51,137.7
8/10/2025,16:00:00,21,38.1,232.6,26.83,NAN,0.2520397,37.24,138.8
8/10/2025,16:10:00,22,37.85,184.2,26.44,NAN,0.0592534,37.1,139.3
8/10/2025,16:20:00,23,37.63,143.7,25.99,NAN,0.1996732,37.03,139.8
8/10/2025,16:30:00,24,37.4,137.1,25.61,NAN,0.1996732,36.88,140.9
8/10/2025,16:40:00,25,37.2,122,25.34,NAN,0.1647622,36.67,141.8
8/10/2025,16:50:00,26,36.9,98.6,25.21,NAN,0.2349721,36.39,142.4
8/10/2025,17:00:00,27,36.61,112.2,25.28,NAN,0.3055699,35.48,143.5
8/10/2025,17:10:00,28,36.47,149.5,25.54,NAN,0.2881144,35.83,144.3
8/10/2025,17:20:00,29,36.29,118.3,25.76,NAN,0.3234133,35.62,144.8
8/10/2025,17:30:00,30,36.05,82.1,25.44,NAN,0.3059578,35.4,145.8
8/10/2025,17:40:00,31,35.85,44.56,25.14,NAN,0.2532034,35.13,146.7
8/10/2025,17:50:00,32,35.64,25.8,25.23,NAN,0.165538,34.84,147.3
8/10/2025,18:00:00,33,35.34,17.75,24.8,NAN,0.165538,34.55,148.2
8/10/2025,18:10:00,34,34.99,11.01,24.63,NAN,0.1484704,33.7,149
8/10/2025,18:20:00,35,34.74,5.565,24.79,NAN,#VALUE!,31.9,149.8
8/10/2025,18:30:00,36,34.57,2.657,24.31,NAN,0.2539792,33.84,150.3
8/10/2025,18:40:00,37,34.41,0.977,24.04,NAN,#VALUE!,33.06,151
8/10/2025,18:50:00,38,34.22,0.234,23.81,NAN,#VALUE!,32.78,151.3
8/10/2025,19:00:00,39,34.08,0,23.78,NAN,0.3071215,31.71,152.2
8/10/2025,19:10:00,40,33.92,0,23.62,NAN,0.2900539,31.91,152.7
8/10/2025,19:20:00,41,33.76,0,23.69,NAN,0.254755,32.82,152.9
8/10/2025,19:30:00,42,33.63,0,23.55,NAN,0.2904418,32.63,153.5
8/10/2025,19:40:00,43,33.53,0.003,23.51,NAN,0.3082852,32.45,154.2
8/10/2025,19:50:00,44,33.47,0.017,23.53,NAN,0.2202319,32.25,154.2
8/10/2025,20:00:00,45,33.36,0.02,23.53,NAN,0.2908297,32.06,154.9
8/10/2025,20:10:00,46,33.25,0.116,23.51,NAN,0.2380753,31.89,155.4
8/10/2025,20:20:00,47,33.13,0.043,23.27,NAN,0.2733742,31.74,155.8
8/10/2025,20:30:00,48,33.03,0.132,23.13,NAN,0.2384632,31.57,156.1
8/10/2025,20:40:00,49,32.87,0.066,22.94,NAN,0.2916055,31.39,156.8
8/10/2025,20:50:00,50,32.72,0.069,23.04,NAN,0.2388511,31.24,156.9
8/10/2025,21:00:00,51,32.6,0.145,22.97,NAN,0.2566945,31.09,157.7
8/10/2025,21:10:00,52,32.44,0.198,22.96,NAN,0.2919934,30.94,157.7
8/10/2025,21:20:00,53,32.33,0.198,23.11,NAN,0.2745379,30.8,158.5
8/10/2025,21:30:00,54,32.21,0.043,23.52,NAN,0.2745379,30.7,158.6
8/10/2025,21:40:00,55,32.12,0,23.64,NAN,0.1864846,30.62,158.4
8/10/2025,21:50:00,56,32.08,0,23.63,NAN,0.1690291,29.02,158.6
8/10/2025,22:00:00,57,32.08,0.007,23.66,NAN,0.1690291,29.98,158.9
8/10/2025,22:10:00,58,32.08,0.106,23.76,NAN,0.2396269,29.35,159.4
8/10/2025,22:20:00,59,32.06,0.109,23.76,NAN,0.2753137,28.26,159.8
8/10/2025,22:30:00,60,32,0.003,23.52,NAN,0.2753137,30.16,159.8
8/10/2025,22:40:00,61,31.91,0.152,23.33,NAN,0.2225593,30.04,160.3
8/10/2025,22:50:00,62,31.82,0,23.35,NAN,0.3110005,29.92,160.6
8/10/2025,23:00:00,63,31.75,0,23.58,NAN,0.328456,29.83,160.8
8/10/2025,23:10:00,64,31.68,0,23.77,NAN,0.3288439,29.75,161.2
8/10/2025,23:20:00,65,31.65,0,23.87,NAN,0.3288439,29.69,161.5
8/10/2025,23:30:00,66,31.59,0,23.88,NAN,0.2582461,29.6,161.5
8/10/2025,23:40:00,67,31.58,0,23.82,NAN,0.293545,29.53,161.7
8/10/2025,23:50:00,68,31.55,0,23.77,NAN,0.2582461,29.44,162.2
8/11/2025,0:00:00,69,31.53,0,23.97,NAN,0.293545,29.35,162.7
8/11/2025,0:10:00,70,31.5,0.007,24.1,NAN,0.3292318,29.29,162.9
8/11/2025,0:20:00,71,31.47,0.036,24.23,NAN,0.258634,29.2,163.1
8/11/2025,0:30:00,72,31.41,0.036,24.23,NAN,0.258634,29.16,163.6
8/11/2025,0:40:00,73,31.4,0.059,24.25,NAN,0.2939329,29.1,163.8
8/11/2025,0:50:00,74,31.4,0.01,24.47,NAN,0.258634,29.07,163.9
8/11/2025,1:00:00,75,31.37,0.013,24.49,NAN,0.1880362,29,164.4
8/11/2025,1:10:00,76,31.39,0.04,24.55,NAN,0.2407906,29,164.4
8/11/2025,1:20:00,77,31.4,0.03,24.62,NAN,0.2411785,28.92,164.4
8/11/2025,1:30:00,78,31.4,0.05,24.57,NAN,0.2233351,28.9,165.1
8/11/2025,1:40:00,79,31.4,0.02,24.51,NAN,0.2411785,28.87,165.3
8/11/2025,1:50:00,80,31.36,0.03,24.5,NAN,0.2058796,28.8,165.6
8/11/2025,2:00:00,81,31.31,0.04,24.51,NAN,0.2054917,28.79,165.8
8/11/2025,2:10:00,82,31.25,0.003,24.71,NAN,0.1880362,28.7,166.7
8/11/2025,2:20:00,83,31.22,0.023,24.89,NAN,0.2058796,28.7,166.3
8/11/2025,2:30:00,84,31.2,0,24.7,NAN,0.1527373,28.7,166.6
8/11/2025,2:40:00,85,31.24,0.01,24.62,NAN,0.2233351,28.7,166.4
8/11/2025,2:50:00,86,31.23,0.02,24.59,NAN,0.2411785,28.61,166.8
8/11/2025,3:00:00,87,31.18,0.01,24.62,NAN,0.3117763,28.6,167.1
8/11/2025,3:10:00,88,31.08,0.013,24.68,NAN,0.2411785,28.51,167.5
8/11/2025,3:20:00,89,31.01,0,24.64,NAN,0.2233351,28.5,168
8/11/2025,3:30:00,90,30.92,0.003,24.56,NAN,0.1705807,28.42,168.2
8/11/2025,3:40:00,91,30.85,0.007,24.69,NAN,0.2764774,28.4,168.2
8/11/2025,3:50:00,92,30.81,0,24.92,NAN,0.2411785,28.3,168.8
8/11/2025,4:00:00,93,30.75,0.003,24.87,NAN,0.1705807,28.3,169
8/11/2025,4:10:00,94,30.69,0.007,24.89,NAN,0.1705807,28.27,168.9
8/11/2025,4:20:00,95,30.63,0,24.95,NAN,0.1705807,28.2,169.7
8/11/2025,4:30:00,96,30.57,0.003,24.87,NAN,0.2411785,28.2,169.9
8/11/2025,4:40:00,97,30.5,0,24.74,NAN,0.1880362,28.11,169.9
8/11/2025,4:50:00,98,30.43,0.066,24.56,NAN,0.223723,28.1,170.5
8/11/2025,5:00:00,99,30.43,0.648,24.44,NAN,0.2764774,26.62,170.8
8/11/2025,5:10:00,100,30.41,2.062,24.35,NAN,0.2590219,26.13,171
8/11/2025,5:20:00,101,30.36,4.972,24.41,NAN,0.223723,27.92,171.4
8/11/2025,5:30:00,102,30.37,9.75,24.47,NAN,0.1884241,27.9,171.5
8/11/2025,5:40:00,103,30.4,17.63,24.57,NAN,0.1527373,27.9,172
8/11/2025,5:50:00,104,30.43,26.91,24.71,NAN,0.1705807,27.9,171.8
8/11/2025,6:00:00,105,30.51,35.87,24.98,NAN,0.2233351,27.98,172.1
8/11/2025,6:10:00,106,30.66,45.11,25.13,NAN,0.3591001,28.13,165.2
8/11/2025,6:20:00,107,30.85,55.59,25.27,NAN,0.3272923,28.27,144
8/11/2025,6:30:00,108,31.07,65.15,25.33,NAN,0.3234133,28.36,141.7
8/11/2025,6:40:00,109,31.31,73.54,25.34,NAN,0.3579364,28.46,141.4
8/11/2025,6:50:00,110,31.57,81.1,25.52,NAN,0.2516518,28.58,156.9
8/11/2025,12:30:00,111,43.23,720.3,28.12,NAN,0.208207,37.36,245.1
8/11/2025,12:40:00,112,43.32,743.4,28.02,NAN,0.0786484,37.53,246.3
8/11/2025,12:50:00,113,43.42,762.2,28.03,NAN,0.1294633,37.7,247.6
8/11/2025,13:00:00,114,43.49,758.3,28.19,NAN,0.1996732,37.29,248.8
8/11/2025,13:10:00,115,43.61,739.2,28.24,NAN,#VALUE!,39.08,208.9
8/11/2025,13:20:00,116,43.76,680,27.96,NAN,0.3707371,39.6,169.4
8/11/2025,13:30:00,117,43.68,682.9,27.97,NAN,0.2962603,39.52,168.5
8/11/2025,13:40:00,118,43.53,709.6,28.03,NAN,0.2423422,39.5,169
8/11/2025,13:50:00,119,43.45,561.6,27.64,NAN,0.188812,39.44,169.6
