"תחנה","תאריך ושעה (שעון קיץ)","קרינה מפוזרת (וואט/מ""ר)","קרינה גלובלית (וואט/מ""ר)","קרינה ישירה (וואט/מ""ר)"
"בית דגן קרינה","29/05/2025 00:00","0","0","0"
"בית דגן קרינה","29/05/2025 00:10","0","0","0"
"בית דגן קרינה","29/05/2025 00:20","0","0","0"
"בית דגן קרינה","29/05/2025 00:30","0","0","0"
"בית דגן קרינה","29/05/2025 00:40","0","0","0"
"בית דגן קרינה","29/05/2025 00:50","0","0","0"
"בית דגן קרינה","29/05/2025 01:00","0","0","0"
"בית דגן קרינה","29/05/2025 01:10","0","0","0"
"בית דגן קרינה","29/05/2025 01:20","0","0","0"
"בית דגן קרינה","29/05/2025 01:30","0","0","0"
"בית דגן קרינה","29/05/2025 01:40","0","0","0"
"בית דגן קרינה","29/05/2025 01:50","0","0","0"
"בית דגן קרינה","29/05/2025 02:00","0","0","0"
"בית דגן קרינה","29/05/2025 02:10","0","0","0"
"בית דגן קרינה","29/05/2025 02:20","0","0","0"
"בית דגן קרינה","29/05/2025 02:30","0","0","0"
"בית דגן קרינה","29/05/2025 02:40","0","0","0"
"בית דגן קרינה","29/05/2025 02:50","0","0","0"
"בית דגן קרינה","29/05/2025 03:00","0","0","0"
"בית דגן קרינה","29/05/2025 03:10","0","0","0"
"בית דגן קרינה","29/05/2025 03:20","0","0","0"
"בית דגן קרינה","29/05/2025 03:30","0","0","0"
"בית דגן קרינה","29/05/2025 03:40","0","0","0"
"בית דגן קרינה","29/05/2025 03:50","0","0","0"
"בית דגן קרינה","29/05/2025 04:00","0","0","0"
"בית דגן קרינה","29/05/2025 04:10","0","0","0"
"בית דגן קרינה","29/05/2025 04:20","0","0","0"
"בית דגן קרינה","29/05/2025 04:30","0","0","0"
"בית דגן קרינה","29/05/2025 04:40","0","0","0"
"בית דגן קרינה","29/05/2025 04:50","0","0","0"
"בית דגן קרינה","29/05/2025 05:00","0","0","0"
"בית דגן קרינה","29/05/2025 05:10","0","0","0"
"בית דגן קרינה","29/05/2025 05:20","0","0","0"
"בית דגן קרינה","29/05/2025 05:30","0","0","0"
"בית דגן קרינה","29/05/2025 05:40","1","1","0"
"בית דגן קרינה","29/05/2025 05:50","9","9","0"
"בית דגן קרינה","29/05/2025 06:00","16","18","0"
"בית דגן קרינה","29/05/2025 06:10","27","30","5"
"בית דגן קרינה","29/05/2025 06:20","37","40","8"
"בית דגן קרינה","29/05/2025 06:30","45","70","93"
"בית דגן קרינה","29/05/2025 06:40","55","120","312"
"בית דגן קרינה","29/05/2025 06:50","63","152","364"
"בית דגן קרינה","29/05/2025 07:00","76","193","402"
"בית דגן קרינה","29/05/2025 07:10","81","225","439"
"בית דגן קרינה","29/05/2025 07:20","78","257","491"
"בית דגן קרינה","29/05/2025 07:30","82","297","535"
"בית דגן קרינה","29/05/2025 07:40","87","331","552"
"בית דגן קרינה","29/05/2025 07:50","96","372","572"
"בית דגן קרינה","29/05/2025 08:00","107","404","563"
"בית דגן קרינה","29/05/2025 08:10","150","464","547"
"בית דגן קרינה","29/05/2025 08:20","122","354","358"
"בית דגן קרינה","29/05/2025 08:30","152","570","654"
"בית דגן קרינה","29/05/2025 08:40","197","508","431"
"בית דגן קרינה","29/05/2025 08:50","152","325","213"
"בית דגן קרינה","29/05/2025 09:00","158","475","402"
"בית דגן קרינה","29/05/2025 09:10","195","738","694"
"בית דגן קרינה","29/05/2025 09:20","179","748","700"
"בית דגן קרינה","29/05/2025 09:30","144","712","679"
"בית דגן קרינה","29/05/2025 09:40","174","745","650"
"בית דגן קרינה","29/05/2025 09:50","146","417","288"
"בית דגן קרינה","29/05/2025 10:00","129","737","660"
"בית דגן קרינה","29/05/2025 10:10","115","678","589"
"בית דגן קרינה","29/05/2025 10:20","102","858","798"
"בית דגן קרינה","29/05/2025 10:30","95","885","819"
"בית דגן קרינה","29/05/2025 10:40","91","908","832"
"בית דגן קרינה","29/05/2025 10:50","88","929","841"
"בית דגן קרינה","29/05/2025 11:00","93","940","831"
