run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-11 00:50:00,1440,432,0.5432473248161647,0.6637535818341525,0.9721923664246716,32.247931460909115,66.97828815963213,0.9230685187748721,0.02185362088661816,0.04349310432935309,0.9557060288648694,5.375231323178679,6.497944203193145,0.6316607710306048
1,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-14 00:50:00,1872,432,0.3473901281024107,0.4779070905143101,0.9877065265115628,33.68174195953301,61.08085587141993,0.938894473344487,0.027137676968212853,0.043989653604046434,0.9549179487235602,2.790926318061354,3.6501662156459687,0.8647422058208387
2,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-17 01:00:00,2304,432,0.326288694340102,0.40763452124336236,0.9901491652182057,18.587449564868322,33.054643962247845,0.9811423981703955,0.01685033063020805,0.029108728552717743,0.9801729399255279,2.021500534932007,2.591814984553892,0.9371622652465212
3,2025-05-29 01:00:00,2025-06-17 01:00:00,2025-06-17 01:10:00,2025-06-20 01:00:00,2736,432,0.37523595155353395,0.4936380092390069,0.9867954676630577,16.871224761071513,28.28877702221733,0.9872684427211925,0.013076923558483626,0.02032548665816611,0.9906031285350341,2.463777571020842,3.4853962205180244,0.8773689551466174
4,2025-05-29 01:00:00,2025-06-20 01:00:00,2025-06-20 01:10:00,2025-06-23 01:00:00,3168,432,0.34208141980656315,0.4389455841582017,0.9886260480831333,14.43476842893218,24.902487849601552,0.9894881753056819,0.010644479028408696,0.018690071187453,0.9918753346953362,1.898246577659449,2.889655322806382,0.9073775358912854
5,2025-05-29 01:00:00,2025-06-23 01:00:00,2025-06-23 01:10:00,2025-06-26 01:00:00,3600,432,0.36572072125650074,0.5086778109395697,0.980158199708234,20.01909168459581,34.22754222923212,0.9787419537742256,0.01601543181050447,0.028038617308232372,0.9805277486683367,1.6520583275595049,2.1642329429352314,0.9606369893748903
6,2025-05-29 01:00:00,2025-06-26 01:00:00,2025-06-26 01:10:00,2025-06-29 01:00:00,4032,432,0.4839843997455304,0.6831806192706079,0.9786599223439616,32.99150967448678,70.83322285096838,0.9385161139198217,0.022849816205633415,0.038186851846465364,0.9713085247607252,3.221788400190102,4.551238001952558,0.851392999393305
7,2025-05-29 01:00:00,2025-06-29 01:00:00,2025-06-29 01:10:00,2025-07-02 01:10:00,4464,432,0.4615520109743588,0.6649655135387449,0.9770187089464508,22.50335371371492,40.278548626682436,0.9768965543890961,0.016116632222797873,0.027403356655210945,0.9844777312066813,3.2306924943865876,4.143888949552299,0.8924138846313067
8,2025-05-29 01:00:00,2025-07-02 01:10:00,2025-07-02 01:20:00,2025-07-05 01:10:00,4896,432,0.39892369288915375,0.5304023884218398,0.9842898983422412,14.418029159222378,24.572671482864973,0.9922442646929677,0.011019379315882902,0.017643355241747805,0.9937401012882792,1.9218836834672695,2.4087490523267765,0.9400567588701499
9,2025-05-29 01:00:00,2025-07-05 01:10:00,2025-07-05 01:20:00,2025-07-08 01:10:00,5328,432,0.2933884296574952,0.38607623765177923,0.9906210934512846,18.80867998980752,33.7230189245698,0.9797379398869684,0.01158683115621364,0.021378635617976677,0.9906124218955931,1.4732543342061772,1.8761025445178354,0.9653533899631838
10,2025-05-29 01:00:00,2025-07-08 01:10:00,2025-07-08 01:20:00,2025-07-11 01:10:00,5760,432,0.20879226018540875,0.3020411133840815,0.99441476836647,14.431303788995463,25.621092638129777,0.9889768446952366,0.010301933968162678,0.02009946915523574,0.9909239854571019,1.292970479716459,1.7329483877207816,0.9726510047728277
11,2025-05-29 01:00:00,2025-07-11 01:10:00,2025-07-11 01:20:00,2025-07-14 01:10:00,6192,432,0.27962163659243217,0.3758481290958493,0.9906336045262778,14.025723522367143,24.305638804407852,0.9929528203933601,0.01060458895864094,0.016892491105647844,0.9944929152293582,1.7107701035486553,2.2898724686058354,0.9561161240772869
12,2025-05-29 01:00:00,2025-07-14 01:10:00,2025-07-14 01:20:00,2025-07-17 01:20:00,6624,432,0.25098924673109224,0.3237913044375197,0.9938855981881213,15.727237282149666,32.51337038205075,0.9846695807285347,0.010095704712728614,0.017827136877461326,0.9933423044730277,1.1863101927155115,1.6436821970853013,0.9726260808196003
13,2025-05-29 01:00:00,2025-07-17 01:20:00,2025-07-17 01:30:00,2025-07-20 01:20:00,7056,432,0.41033184326303174,0.6355847102225082,0.9783937189908058,16.350391066237112,28.491784947399747,0.9909411966396833,0.010702384841607751,0.022645452565564144,0.9903497347063056,1.6567387479890814,2.2904523605267983,0.954079137917965
14,2025-05-29 01:00:00,2025-07-20 01:20:00,2025-07-20 01:30:00,2025-07-23 01:20:00,7488,432,0.22108680734416458,0.2959431980939107,0.9932114682402783,14.551467548010168,26.50532579484519,0.9916003343863394,0.01019135558599468,0.01822629723294473,0.9938063192243078,1.2634896981193402,1.6505712019454635,0.9742064398869965
15,2025-05-29 01:00:00,2025-07-23 01:20:00,2025-07-23 01:30:00,2025-07-26 01:20:00,7920,432,0.3060310734038208,0.42756081507160504,0.9887547233565823,18.484068833713838,34.65061499611958,0.9838198662994544,0.01237682307646559,0.0226423056763845,0.9901753810368005,2.059912104582835,2.596327547588491,0.9139641819694836
16,2025-05-29 01:00:00,2025-07-26 01:20:00,2025-07-26 01:30:00,2025-07-29 01:20:00,8352,432,0.30899453050615805,0.4312300090273648,0.9874044172272708,14.552227510865773,26.916493308744904,0.9902418756980776,0.013390177088171605,0.023571301457320875,0.9888673885346493,1.2765022525355545,1.66974059230126,0.978008560820562
17,2025-05-29 01:00:00,2025-07-29 01:20:00,2025-07-29 01:30:00,2025-08-01 01:30:00,8784,432,0.244122874274839,0.36281265833740967,0.9847454443858628,25.97359108334671,52.50183935506899,0.9647985837395066,0.016036060989452577,0.0297768405801105,0.981989207552928,1.6904315351940749,2.069076703075791,0.9591464739507726
18,2025-05-29 01:00:00,2025-08-01 01:30:00,2025-08-01 01:40:00,2025-08-04 02:40:00,9216,432,0.21526830819909842,0.2925859344040423,0.9922709438903364,15.120030965601499,30.51344903759427,0.988817512972532,0.00988967641605347,0.019639902332503612,0.9925462805785455,1.296887567931081,1.683787571855045,0.9660203966403305
19,2025-05-29 01:00:00,2025-08-04 02:40:00,2025-08-04 02:50:00,2025-08-07 02:40:00,9648,432,0.2085253203493097,0.28092648927464586,0.9937131607149252,11.364364738243092,22.398224580886087,0.9938772498681346,0.00953034692732231,0.018924445960904746,0.9930628618674973,1.3558662782896518,1.764646533011039,0.9553015356067631
20,2025-05-29 01:00:00,2025-08-07 02:40:00,2025-08-07 02:50:00,2025-08-10 02:40:00,10080,432,0.26048611876640076,0.3898020926111063,0.9857209901241153,20.080029657414258,38.64031254396323,0.9769389839767713,0.01417901473613716,0.02929953775350248,0.9803849828293725,1.3226041645027837,1.6550183904630296,0.9728400301246268
21,2025-05-29 01:00:00,2025-08-10 02:40:00,2025-08-10 02:50:00,2025-08-13 02:40:00,10512,432,0.6460291498915335,0.9071701538373608,0.9383995513128454,32.965294225440395,62.03288462572735,0.9369247141686827,0.026619424763819424,0.051153957472493634,0.9310338041178899,4.584124469981451,7.1834236269648395,0.7435793698721327
22,2025-05-29 01:00:00,2025-08-13 02:40:00,2025-08-13 02:50:00,2025-08-16 02:40:00,10944,432,0.6922701429865451,1.0204834036766957,0.9454480006979653,31.08304120250932,55.838915721669785,0.9576385761777578,0.0235929943591704,0.04202468507463842,0.9625686390864374,3.8978455286109894,5.158507260543291,0.8699928198554154
