ph,ec
6.71,0.29
8.2,0.29
7.11,0.361
6.75,0.387
6.86,0.52
6.81,0.325
8.14,0.3605
9.49,0.5821
9.22,0.5503
7.65,0.3771
7.63,0.5411
8.06,1.406
7.78,0.9185
7.55,2.7
7.25,0.4112
7.95,0.911
8.32,0.8713
7.83,0.956
8.74,2.64
7.72,1.98
8.5,2.47
7.75,1.045
8.83,2.25
8.05,2.36
8.11,2.3
7.48,2.18
8.7,4.18
7.44,3.29
7.81,1.473
7.41,2.13
8.12,2.39
8.63,2.52
7.07,1.145
9.3,2.68
8.29,1.932
9.19,2.93
9.61,1.752
9.08,1.354
9.21,0.9119
8.37,0.8451
8.14,0.738
7.54,0.82782
9.07,0.327
9.86,0.327
7.37,0.266
7.36,0.314
7.76,0.181
8.93,0.294
7.62,0.358
10.29,0.174
7.73,0.18
10.49,0.167
9.76,0.292
10.38,0.306
8.0,0.168
10.34,0.299
8.87,0.301
10.32,0.308
8.25,0.334
10.01,0.1548
8.8,0.326
9.76,0.156
7.9,0.348
9.9,0.3
9.88,0.347
9.33,0.161
7.87,0.342
9.5,0.292
10.16,0.303
10.22,0.306
7.81,0.336
9.24,0.17
9.39,0.348
10.06,0.325
9.56,0.288
9.05,0.349
8.48,0.177
9.26,0.286
9.65,0.316
9.95,0.156
9.36,0.307
7.92,0.198
9.45,0.321
10.13,0.332
10.2,0.334
9.09,0.383
7.66,0.358
8.14,0.183
7.94,0.414
9.5,0.302
9.88,0.309
8.3,0.215
8.88,0.128
9.78,0.333
9.85,0.221
7.76,0.47
8.73,0.41
9.35,0.365
7.27,0.98
7.08,0.662
6.65,0.709
6.8,0.68
6.19,0.501
4.75,4.23
4.75,4.97
5.17,4.52
5.25,4.4
5.33,4.53
5.4,3.87
