run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-09 00:50:00,1440,144,4.245132435845268,5.352252843850634,0.7230313515279212
1,2025-05-29 01:00:00,2025-06-09 00:50:00,2025-06-09 01:00:00,2025-06-10 00:50:00,1584,144,2.2044089575415717,2.914022992295766,0.9093095173977622
2,2025-05-29 01:00:00,2025-06-10 00:50:00,2025-06-10 01:00:00,2025-06-11 00:50:00,1728,144,3.3995466116333004,4.499332440157382,0.8496455150902985
3,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-12 00:50:00,1872,144,2.521240861260308,3.1538627151101295,0.9000384852088162
4,2025-05-29 01:00:00,2025-06-12 00:50:00,2025-06-12 01:00:00,2025-06-13 00:50:00,2016,144,2.2015187386644155,2.7104655621681384,0.9324032850061942
5,2025-05-29 01:00:00,2025-06-13 00:50:00,2025-06-13 01:00:00,2025-06-14 00:50:00,2160,144,2.1632326360032823,3.2317323477869424,0.8784952874356726
6,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-15 00:50:00,2304,144,1.6495299612562395,2.105808907180181,0.9567640418926685
7,2025-05-29 01:00:00,2025-06-15 00:50:00,2025-06-15 01:00:00,2025-06-16 00:50:00,2448,144,1.8381752901797823,2.2366405282275528,0.9443150311998453
8,2025-05-29 01:00:00,2025-06-16 00:50:00,2025-06-16 01:00:00,2025-06-17 01:00:00,2592,144,2.2513737063090007,2.7175777849345515,0.9412655259711172
9,2025-05-29 01:00:00,2025-06-17 01:00:00,2025-06-17 01:10:00,2025-06-18 01:00:00,2736,144,3.322880984627618,4.51686499077739,0.8450849525898104
10,2025-05-29 01:00:00,2025-06-18 01:00:00,2025-06-18 01:10:00,2025-06-19 01:00:00,2880,144,1.681438876725938,2.339642052527632,0.9447044880086042
11,2025-05-29 01:00:00,2025-06-19 01:00:00,2025-06-19 01:10:00,2025-06-20 01:00:00,3024,144,2.3927748516269265,3.245335421993919,0.8386718856435162
12,2025-05-29 01:00:00,2025-06-20 01:00:00,2025-06-20 01:10:00,2025-06-21 01:00:00,3168,144,2.0657829696672234,3.506123676684388,0.8681107775434665
13,2025-05-29 01:00:00,2025-06-21 01:00:00,2025-06-21 01:10:00,2025-06-22 01:00:00,3312,144,2.0697134755638964,3.2428767315631637,0.8861844433937555
14,2025-05-29 01:00:00,2025-06-22 01:00:00,2025-06-22 01:10:00,2025-06-23 01:00:00,3456,144,1.9045177518124052,2.574758987437904,0.9215586339859695
15,2025-05-29 01:00:00,2025-06-23 01:00:00,2025-06-23 01:10:00,2025-06-24 01:00:00,3600,144,2.0293607467024057,2.452424952733059,0.9555438332954742
16,2025-05-29 01:00:00,2025-06-24 01:00:00,2025-06-24 01:10:00,2025-06-25 01:00:00,3744,144,1.385185674769084,1.8054732503068944,0.9713218582459612
17,2025-05-29 01:00:00,2025-06-25 01:00:00,2025-06-25 01:10:00,2025-06-26 01:00:00,3888,144,1.1763883046620687,1.520417718802048,0.9785424392691346
18,2025-05-29 01:00:00,2025-06-26 01:00:00,2025-06-26 01:10:00,2025-06-27 01:00:00,4032,144,1.9908450556623667,2.6417981526648173,0.9238567438090831
19,2025-05-29 01:00:00,2025-06-27 01:00:00,2025-06-27 01:10:00,2025-06-28 01:00:00,4176,144,2.8041262114444305,3.6021029078502624,0.8829943501191678
20,2025-05-29 01:00:00,2025-06-28 01:00:00,2025-06-28 01:10:00,2025-06-29 01:00:00,4320,144,3.8632858789689806,5.934963207461643,0.8332356601299746
21,2025-05-29 01:00:00,2025-06-29 01:00:00,2025-06-29 01:10:00,2025-06-30 01:00:00,4464,144,2.0408778410864934,2.970757063670499,0.9407791650756434
22,2025-05-29 01:00:00,2025-06-30 01:00:00,2025-06-30 01:10:00,2025-07-01 01:10:00,4608,144,1.7864554649624287,2.395691752747735,0.9547536555234601
23,2025-05-29 01:00:00,2025-07-01 01:10:00,2025-07-01 01:20:00,2025-07-02 01:10:00,4752,144,3.968656837831285,4.905620068937692,0.854244616308538
24,2025-05-29 01:00:00,2025-07-02 01:10:00,2025-07-02 01:20:00,2025-07-03 01:10:00,4896,144,2.0860003724721268,2.7737764034287062,0.9136921420161463
25,2025-05-29 01:00:00,2025-07-03 01:10:00,2025-07-03 01:20:00,2025-07-04 01:10:00,5040,144,1.4224562202165396,1.9902263532996787,0.9591781374430086
26,2025-05-29 01:00:00,2025-07-04 01:10:00,2025-07-04 01:20:00,2025-07-05 01:10:00,5184,144,1.2773731632724337,1.6773045882132007,0.971326575405319
27,2025-05-29 01:00:00,2025-07-05 01:10:00,2025-07-05 01:20:00,2025-07-06 01:10:00,5328,144,1.3898688384399416,1.9433658432250238,0.9585954232138625
28,2025-05-29 01:00:00,2025-07-06 01:10:00,2025-07-06 01:20:00,2025-07-07 01:10:00,5472,144,1.2956295761786565,1.6346860388040596,0.9743369318371015
29,2025-05-29 01:00:00,2025-07-07 01:10:00,2025-07-07 01:20:00,2025-07-08 01:10:00,5616,144,1.5903247946268715,2.0745787670174645,0.9590713933384364
30,2025-05-29 01:00:00,2025-07-08 01:10:00,2025-07-08 01:20:00,2025-07-09 01:10:00,5760,144,1.1046382737765834,1.4849370745708983,0.9726082196720458
31,2025-05-29 01:00:00,2025-07-09 01:10:00,2025-07-09 01:20:00,2025-07-10 01:10:00,5904,144,1.3921241571909586,1.7112442160947439,0.9781465107728127
32,2025-05-29 01:00:00,2025-07-10 01:10:00,2025-07-10 01:20:00,2025-07-11 01:10:00,6048,144,1.1559908474561906,1.5572871307619522,0.9788135004261102
33,2025-05-29 01:00:00,2025-07-11 01:10:00,2025-07-11 01:20:00,2025-07-12 01:10:00,6192,144,1.627455545181274,2.069067714678713,0.967573929371349
34,2025-05-29 01:00:00,2025-07-12 01:10:00,2025-07-12 01:20:00,2025-07-13 01:10:00,6336,144,2.0419534257354734,2.7068271430591557,0.9523771801258472
35,2025-05-29 01:00:00,2025-07-13 01:10:00,2025-07-13 01:20:00,2025-07-14 01:10:00,6480,144,1.513200168719822,1.9311903162406259,0.9485669011725899
36,2025-05-29 01:00:00,2025-07-14 01:10:00,2025-07-14 01:20:00,2025-07-15 01:10:00,6624,144,0.949568805848863,1.2400411880840307,0.982006498457342
37,2025-05-29 01:00:00,2025-07-15 01:10:00,2025-07-15 01:20:00,2025-07-16 01:10:00,6768,144,1.358490930326674,1.6850695927390276,0.9720427343910217
38,2025-05-29 01:00:00,2025-07-16 01:10:00,2025-07-16 01:20:00,2025-07-17 01:20:00,6912,144,1.660591123638577,2.434861673513991,0.939601770212491
39,2025-05-29 01:00:00,2025-07-17 01:20:00,2025-07-17 01:30:00,2025-07-18 01:20:00,7056,144,1.909083419740465,2.502023163610735,0.9416332970054938
40,2025-05-29 01:00:00,2025-07-18 01:20:00,2025-07-18 01:30:00,2025-07-19 01:20:00,7200,144,2.395282127775404,3.41599696527831,0.8874704675747014
