run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
0,2025-05-29 01:30:00,2025-06-08 01:20:00,2025-06-08 01:30:00,2025-06-09 01:20:00,1440,144,0.36610178490502704,0.47980956470055736,0.9853832561175138,39.45457087991435,73.14480972419815,0.9131484997572874,0.02630850783090515,0.05046794110612346,0.9391881467769592
1,2025-05-29 01:30:00,2025-06-09 01:20:00,2025-06-09 01:30:00,2025-06-10 01:20:00,1584,144,0.46213298474282255,0.5994841702128508,0.975996695950603,37.27577944835386,64.31202184619555,0.9251970357557953,0.01907447995727125,0.03951953191415598,0.963211646943471
2,2025-05-29 01:30:00,2025-06-10 01:20:00,2025-06-10 01:30:00,2025-06-11 01:20:00,1728,144,0.4744284738507542,0.556935213402728,0.9816254703941076,28.52975731205538,47.146642050171444,0.9615901392792764,0.017030903456123667,0.025793734830886088,0.9848033973601599
3,2025-05-29 01:30:00,2025-06-11 01:20:00,2025-06-11 01:30:00,2025-06-12 01:20:00,1872,144,0.42002020535085866,0.5054679437901934,0.9864144732502218,32.317956827511416,62.58246645652951,0.9367955765132273,0.025241336258278554,0.04117825697924741,0.9603089477356784
4,2025-05-29 01:30:00,2025-06-12 01:20:00,2025-06-12 01:30:00,2025-06-13 01:20:00,2016,144,0.38308666116087503,0.5484879653602286,0.9835532249850886,38.44830475276378,61.45658515036565,0.9351644357590739,0.02846677196383522,0.042840106537691124,0.9566417537615243
5,2025-05-29 01:30:00,2025-06-13 01:20:00,2025-06-13 01:30:00,2025-06-14 01:20:00,2160,144,0.3283864547873766,0.4483745701773159,0.9892372715420965,29.75789669583473,47.12969025148253,0.9646775413636552,0.020893899747957585,0.035225643097852484,0.9716170519027246
6,2025-05-29 01:30:00,2025-06-14 01:20:00,2025-06-14 01:30:00,2025-06-15 01:20:00,2304,144,0.38558755405879314,0.4741195116035502,0.986381132817959,17.82977727915501,34.01951119797486,0.9819722666261816,0.017713786265460246,0.03100779518951941,0.9780111581383658
7,2025-05-29 01:30:00,2025-06-15 01:20:00,2025-06-15 01:30:00,2025-06-16 01:20:00,2448,144,0.341970063654105,0.43898538965987766,0.9887859171798626,15.79170359713394,27.382243682694103,0.9869010289721366,0.01983856102508127,0.036008090081200546,0.9701560707045519
8,2025-05-29 01:30:00,2025-06-16 01:20:00,2025-06-16 01:30:00,2025-06-17 01:30:00,2592,144,0.26370678092415695,0.3378862708052803,0.9932349504768581,20.716318537924295,31.796466392404046,0.9806649146520529,0.016255044886144415,0.024638793825319225,0.9851152357092753
9,2025-05-29 01:30:00,2025-06-17 01:30:00,2025-06-17 01:40:00,2025-06-18 01:30:00,2736,144,0.34499465861826445,0.45779121488778757,0.9867662641344411,23.6387592663808,29.326179398589282,0.9838322290772404,0.013561351732679246,0.020760168582001078,0.9892972326591584
10,2025-05-29 01:30:00,2025-06-18 01:30:00,2025-06-18 01:40:00,2025-06-19 01:30:00,2880,144,0.399828329591126,0.518261919532267,0.9854658668644665,17.218796747932128,28.817382842188056,0.9874069071400651,0.013716148175349108,0.020435424878086347,0.9911768538148434
11,2025-05-29 01:30:00,2025-06-19 01:30:00,2025-06-19 01:40:00,2025-06-20 01:30:00,3024,144,0.3997398217818006,0.5374424506589193,0.9862224812895145,19.924321776663152,33.52583552039727,0.9837737700742885,0.012904890464341255,0.020811132738967803,0.9902263734352209
12,2025-05-29 01:30:00,2025-06-20 01:30:00,2025-06-20 01:40:00,2025-06-21 01:30:00,3168,144,0.3103488156183005,0.37276711438780014,0.9918681121255928,13.170997876257053,22.503347278577117,0.9910999331274156,0.011060523135250725,0.016971178380409783,0.9934011673439882
13,2025-05-29 01:30:00,2025-06-21 01:30:00,2025-06-21 01:40:00,2025-06-22 01:30:00,3312,144,0.3362481235855922,0.43308521893692903,0.9890002184289475,13.759425921618908,24.31671506834652,0.9906069748093917,0.01108539347666953,0.02121707333405608,0.9894018756928364
14,2025-05-29 01:30:00,2025-06-22 01:30:00,2025-06-22 01:40:00,2025-06-23 01:30:00,3456,144,0.38407812707660494,0.5067732716084417,0.9840064670928397,17.56567598430571,29.782520873738804,0.98446024292288,0.010505742398193126,0.018370794192618226,0.9921278637001116
15,2025-05-29 01:30:00,2025-06-23 01:30:00,2025-06-23 01:40:00,2025-06-24 01:30:00,3600,144,0.5738420366475204,0.7341627242491922,0.9490081381076493,24.04907059964808,39.37338140502369,0.9738184990097681,0.013169230714564677,0.02162850412419394,0.989206245781532
16,2025-05-29 01:30:00,2025-06-24 01:30:00,2025-06-24 01:40:00,2025-06-25 01:30:00,3744,144,0.3767959451066425,0.5327177561913482,0.9778361526912819,24.379991250110415,39.737325712047834,0.963848166281209,0.017373773126283444,0.030629361995659958,0.9736009007058949
17,2025-05-29 01:30:00,2025-06-25 01:30:00,2025-06-25 01:40:00,2025-06-26 01:30:00,3888,144,0.3036037622359136,0.37821959535456834,0.9911695861521783,22.10361727199228,29.952845317374113,0.9854569233892934,0.012704626059241227,0.021684440865168342,0.9888018762653481
18,2025-05-29 01:30:00,2025-06-26 01:30:00,2025-06-26 01:40:00,2025-06-27 01:30:00,4032,144,0.30588278464085156,0.4143911907512769,0.991615310277697,15.18739694253391,25.95101664800289,0.9893076260612781,0.014820464794691917,0.025564243196752854,0.9845624150641809
19,2025-05-29 01:30:00,2025-06-27 01:30:00,2025-06-27 01:40:00,2025-06-28 01:30:00,4176,144,0.5099182511280951,0.6634048986149855,0.9789219455020329,38.24597351311874,76.91938574813696,0.9338506183928073,0.029838504826748116,0.045729939787029245,0.9603957241490997
20,2025-05-29 01:30:00,2025-06-28 01:30:00,2025-06-28 01:40:00,2025-06-29 01:30:00,4320,144,0.6897295332824718,0.9113388219250839,0.9655378025911026,41.95713408731386,78.88869241500389,0.932206796796337,0.025616299402414573,0.04269234826748879,0.9681354362107784
21,2025-05-29 01:30:00,2025-06-29 01:30:00,2025-06-29 01:40:00,2025-06-30 01:30:00,4464,144,0.47159826118088777,0.5938137570197619,0.9835800271565693,14.279459647029077,23.83025210120882,0.9932337199836121,0.013222857765749722,0.02347808629932098,0.9894217506077553
22,2025-05-29 01:30:00,2025-06-30 01:30:00,2025-06-30 01:40:00,2025-07-01 01:40:00,4608,144,0.22278849465908065,0.2687034460213519,0.9950344026229763,17.56298313874401,29.520105524045945,0.9867804219678361,0.015346371812212914,0.027039108350628158,0.984616568904429
23,2025-05-29 01:30:00,2025-07-01 01:40:00,2025-07-01 01:50:00,2025-07-02 01:40:00,4752,144,0.8677633853080996,1.0814435191257592,0.9426642072132431,33.0053562983769,52.66165681345598,0.9540334041737809,0.024175453195444188,0.03936665309956546,0.9658322672378389
